Species	Status
Adianthus_bucatus	extinct
Adiantoides_leali	extinct
Adiantoides_magnus	extinct
Albertogaudrya	extinct
Albertogaudrya_carahuasensis	extinct
Albertogaudrya_robusta	extinct
Albertogaudrya_unica	extinct
Amilnedwardsia_brevicula	extinct
Anisolambda	extinct
Anisolambda_amel	extinct
Anisolambda_fissidens	extinct
Anisolophus	extinct
Anisolophus_floweri	extinct
Asmithwoodwardia	extinct
Asmithwoodwardia_scotti	extinct
Asmithwoodwardia_subtrigona	extinct
Astraponotus	extinct
Astraponotus_assymmetrus	extinct
Astraponotus_dicksoni	extinct
Astraponotus_dilatatus	extinct
Astraponotus_holdichi	extinct
Astraponotus_thompsoni	extinct
Astrapothericulus	extinct
Astrapothericulus_iheringi	extinct
Astrapotherium	extinct
Astrapotherium_christi	extinct
Astrapotherium_magnum	extinct
Astrapotherium_ruderarium	extinct
Baguatherium_jaureguii	extinct
Carodnia_feruglioi	extinct
Carodnia_inexpectans	extinct
Carodnia_vieirai	extinct
Colombitherium_tolimense	extinct
Comahuetherium_coccaorum	extinct
Coniopternium	extinct
Coniopternium_andinum	extinct
Coniopternium_primitivum	extinct
Cramauchenia	extinct
Cramauchenia_normalis	extinct
Deuterotherium	extinct
Deuterotherium_distichum	extinct
Diadiaphorus_caniadensis	extinct
Diadiaphorus_majusculus	extinct
Diadiaphorus_robustus	extinct
Didolodus	extinct
Didolodus_latigonus	extinct
Didolodus_magnus	extinct
Didolodus_minor	extinct
Didolodus_multicuspis	extinct
Eoastrapostylops_riolorense	extinct
Eolicaphrium_primarium	extinct
Ernestohaeckelia_aculeata	extinct
Ernestohaeckelia_acutidens	extinct
Ernestokokenia	extinct
Ernestokokenia_chaishoer	extinct
Ernestokokenia_nitida	extinct
Ernestokokenia_patagonica	extinct
Ernestokokenia_trigonalis	extinct
Ernestokokenia_yirunhor	extinct
Etayoa_bacatensis	extinct
Griphodon	extinct
Griphodon_peruvianus	extinct
Guilielmofloweria_plicata	extinct
Heteroglyphis_dewoletzky	extinct
Hilarcotherium_miyou	extinct
Hondonadia	extinct
Hondonadia_parca	extinct
Hondonadia_pittmanae	extinct
Hondonadia_praecipitia	extinct
Hondonadia_pumila	extinct
Indalecia_grandensis	extinct
Josepholeidya_adunca	extinct
Josepholeidya_deculca	extinct
Lambdaconus_lacerum	extinct
Lambdaconus_suinus	extinct
Lamegoia_conodonta	extinct
Liarthrus_copei	extinct
Licaphrium_floweri	extinct
Licaphrops_festinus	extinct
Llullataruca_shockeyi	extinct
Maddenia_lapidaria	extinct
Miguelsoria_parayirunhor	extinct
Notodiaphorus_crassus	extinct
Paramacrauchenia_scamnata	extinct
Paranisolambda_prodromus	extinct
Parastrapotherium	extinct
Parastrapotherium_crassum	extinct
Parastrapotherium_holmbergi	extinct
Parastrapotherium_martiale	extinct
Parastrapotherium_symmetrum	extinct
Parastrapotherium_voghti	extinct
Pascualdelphys_fierroensis	extinct
Paulogervaisia_inusta	extinct
Paulogervaisia_mamma	extinct
Paulogervaisia_porca	extinct
Phoradiadius_divortiensis	extinct
Picturotherium	extinct
Picturotherium_migueli	extinct
Polyacrodon_lanciformis	extinct
Polyacrodon_ligatus	extinct
Polymorphis_alius	extinct
Polymorphis_lechei	extinct
Polymorphis_planus	extinct
Proadiantus_excavatus	extinct
Proectocion_argentinus	extinct
Proectocion_praecursor	extinct
Proectocion_precisus	extinct
Proheptaconus_patagonicus	extinct
Prolicaphrium_spectabile	extinct
Promylophis_cifellii	extinct
Propyrotherium	extinct
Propyrotherium_saxeum	extinct
Proterotherium	extinct
Proterotherium_australe	extinct
Proterotherium_cavum	extinct
Proterotherium_intermedium	extinct
Protheosodon	extinct
Protheosodon_coniferus	extinct
Proticia_venezuelensis	extinct
Protolipterna_ellipsodontoides	extinct
Pternoconius_bondi	extinct
Pternoconius_tournoueri	extinct
Pyrotherium	extinct
Pyrotherium_macfaddeni	extinct
Pyrotherium_romerii	extinct
Pyrotherium_sorondoi	extinct
Ricardocifellia_protocenica	extinct
Ricardolydekkeria	extinct
Ricardolydekkeria_cinctula	extinct
Ricardolydekkeria_lunulata	extinct
Ricardolydekkeria_praerupta	extinct
Ricardolydekkeria_profunda	extinct
Rosendolops	extinct
Rosendolops_ebaios	extinct
Rosendolops_primigenium	extinct
Rutimeyeria_conulifera	extinct
Salladolodus	extinct
Salladolodus_deuterotherioides	extinct
Saltaodus_sirolli	extinct
Scaglia_kraglievichorum	extinct
Sparnotheriodon_epsilonoides	extinct
Tetragonostylops_apthomasi	extinct
Tetramerorhinus	extinct
Tetramerorhinus_cingulatum	extinct
Tetramerorhinus_fleaglei	extinct
Tetramerorhinus_fortis	extinct
Tetramerorhinus_lucarius	extinct
Tetramerorhinus_prosistens	extinct
Thadanius_hoffstetteri	extinct
Theosodon	extinct
Theosodon_gracilis	extinct
Theosodon_lydekkeri	extinct
Thoatherium	extinct
Thoatherium_minusculum	extinct
Tricoelodus_bicuspidatus	extinct
Tricoelodus_boliviensis	extinct
Trigonostylops	extinct
Trigonostylops_wortmani	extinct
Umayodus_raimondi	extinct
Uruguaytherium_beaulieui	extinct
Victorlemoinea_longidens	extinct
Victorlemoineia	extinct
Victorlemoineia_emarginata	extinct
Victorlemoineia_labyrinthica	extinct
Victorlemoineia_prototypica	extinct
Xenastrapotherium_chaparralensis	extinct
Xesmodon_langi	extinct
Xesmodon_prolixus	extinct
