Species	Status	min_age	max_age
Proeocoleophorus_carlinii	extinct	37.71	47.8
Saltatherium_rosaurae	extinct	40	46
Noatherium_emilioi	extinct	46.2	55
cf. Yuruatherium	extinct	30	33.9
Yuruatherium_tropicalis	extinct	30	33.9
Chlamydophractus_dimartinoi	extinct	9.07	9.43
Prozaedius_impressus	extinct	23.03	27.82
Prozaedius_planus	extinct	23.03	27.82
Prozaedyus_a	extinct	23.03	33.9
Prozaedyus aff. impressus	extinct	23.03	27.82
Prozaedyus aff. impressus	extinct	23.03	27.82
Prozaedyus aff. impressus	extinct	23.03	27.82
Prozaedyus_scillatoyanei	extinct	5.333	11.63
Stenotatus_a	extinct	23.03	27.82
Stenotatus_a	extinct	27.82	33.9
Stenotatus_a	extinct	23.03	27.82
Stenotatus_a	extinct	23.03	27.82
Stenotatus_a	extinct	5.333	9
Stenotatus_a	extinct	5.333	11.63
Stenotatus_a	extinct	23.03	27.82
Stenotatus aff. nornatus	extinct	23.03	27.82
Stenotatus ornatus	extinct	23.03	27.82
Anadasypus	extinct	5.333	9
Anadasypus_aequatorianus	extinct	5.333	9
Archaeutatus	extinct	23.03	33.9
Archaeutatus	extinct	23.03	27.82
Archaeutatus_malaspinensis	extinct	27.82	33.9
Archaeutatus_malaspinensis	extinct	23.03	27.82
Archaeutatus_malaspinensis	extinct	23.03	27.82
Astegotherium	extinct	30	33.9
Astegotherium	extinct	30	33.9
Astegotherium sp. nov.	extinct	47.8	56
Barrancatatus_maddeni	extinct	27.82	33.9
Barrancatatus_rigidus	extinct	27.82	33.9
Barrancatatus_rigidus	extinct	27.82	33.9
Barrancatatus_rigidus	extinct	33.9	37.71
Barrancatatus_rigidus	extinct	30	33.9
Barrancatatus_tinguiririquensis	extinct	30	33.9
Chasicotatus	extinct	5.333	11.63
Chasicotatus	extinct	5.333	11.63
Chasicotatus	extinct	5.333	11.63
Chasicotatus	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
